Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003798500000000,I2C,0x03 + ACK
0.005268750000000,I2C,0x7D + ACK
0.061280000000000,I2C,Setup Write to [0x46] + ACK
0.065042250000000,I2C,0x03 + ACK
0.066415250000000,I2C,0x7C + ACK
0.117746250000000,I2C,Setup Write to [0x46] + ACK
0.121671500000000,I2C,0x03 + ACK
0.123011250000000,I2C,0x69 + ACK
0.167141250000000,I2C,Setup Write to [0x46] + ACK
0.171040750000000,I2C,0x03 + ACK
0.172431000000000,I2C,0x4E + ACK
0.219092500000000,I2C,Setup Write to [0x46] + ACK
0.222779750000000,I2C,0x03 + ACK
0.224261000000000,I2C,0x3C + ACK
0.268251000000000,I2C,Setup Write to [0x46] + ACK
0.272177500000000,I2C,0x03 + ACK
0.273520500000000,I2C,0x22 + ACK
0.317678000000000,I2C,Setup Write to [0x46] + ACK
0.321599000000000,I2C,0x03 + ACK
0.322947250000000,I2C,0x07 + ACK
0.367051750000000,I2C,Setup Write to [0x46] + ACK
0.370983000000000,I2C,0x03 + ACK
0.372346250000000,I2C,0x00 + ACK
0.597214250000000,I2C,Setup Write to [0x46] + ACK
0.601005750000000,I2C,0x03 + ACK
0.602505250000000,I2C,0x07 + ACK
0.649055250000000,I2C,Setup Write to [0x46] + ACK
0.652847500000000,I2C,0x03 + ACK
0.654366000000000,I2C,0x38 + ACK
0.700811750000000,I2C,Setup Write to [0x46] + ACK
0.704710000000000,I2C,0x03 + ACK
0.706078500000000,I2C,0x8A + ACK
0.750194000000000,I2C,Setup Write to [0x46] + ACK
0.754102000000000,I2C,0x03 + ACK
0.755456000000000,I2C,0xCF + ACK
0.799619750000000,I2C,Setup Write to [0x46] + ACK
0.803407750000000,I2C,0x03 + ACK
0.804881500000000,I2C,0xFB + ACK
0.848973750000000,I2C,Setup Write to [0x46] + ACK
0.852786500000000,I2C,0x03 + ACK
0.854282000000000,I2C,0xFF + ACK
1.145858500000000,I2C,Setup Write to [0x46] + ACK
1.149649750000000,I2C,0x03 + ACK
1.151148250000000,I2C,0xFC + ACK
1.197590000000000,I2C,Setup Write to [0x46] + ACK
1.201487500000000,I2C,0x03 + ACK
1.202876250000000,I2C,0xDD + ACK
1.249452000000000,I2C,Setup Write to [0x46] + ACK
1.253223000000000,I2C,0x03 + ACK
1.254720750000000,I2C,0xC6 + ACK
1.298776500000000,I2C,Setup Write to [0x46] + ACK
1.302623000000000,I2C,0x03 + ACK
1.304069750000000,I2C,0xB9 + ACK
1.348122250000000,I2C,Setup Write to [0x46] + ACK
1.352040500000000,I2C,0x03 + ACK
1.353385250000000,I2C,0xA1 + ACK
1.397487500000000,I2C,Setup Write to [0x46] + ACK
1.401421000000000,I2C,0x03 + ACK
1.402787250000000,I2C,0x8D + ACK
1.449503250000000,I2C,Setup Write to [0x46] + ACK
1.453136500000000,I2C,0x03 + ACK
1.454658500000000,I2C,0x7C + ACK
1.498715250000000,I2C,Setup Write to [0x46] + ACK
1.502569500000000,I2C,0x03 + ACK
1.504028000000000,I2C,0x75 + ACK
1.652734500000000,I2C,Setup Write to [0x46] + ACK
1.656519750000000,I2C,0x03 + ACK
1.657861500000000,I2C,0x73 + ACK
1.756832000000000,I2C,Setup Write to [0x46] + ACK
1.760596750000000,I2C,0x03 + ACK
1.761990250000000,I2C,0x72 + ACK
1.894283250000000,I2C,Setup Write to [0x46] + ACK
1.897940500000000,I2C,0x03 + ACK
1.899548750000000,I2C,0x71 + ACK
