Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003769000000000,I2C,0x11 + ACK
0.005162500000000,I2C,0x05 + ACK
0.073112500000000,I2C,Setup Write to [0x46] + ACK
0.077036000000000,I2C,0x11 + ACK
0.078491250000000,I2C,0x05 + ACK
0.122495750000000,I2C,Setup Write to [0x46] + ACK
0.126286750000000,I2C,0x11 + ACK
0.127782500000000,I2C,0x04 + ACK
0.174356250000000,I2C,Setup Write to [0x46] + ACK
0.178134250000000,I2C,0x11 + ACK
0.179646250000000,I2C,0x02 + ACK
0.223771500000000,I2C,Setup Write to [0x46] + ACK
0.227565500000000,I2C,0x11 + ACK
0.229039000000000,I2C,0x01 + ACK
0.275488250000000,I2C,Setup Write to [0x46] + ACK
0.279414250000000,I2C,0x11 + ACK
0.280754500000000,I2C,0x00 + ACK
0.581744500000000,I2C,Setup Write to [0x46] + ACK
0.585509500000000,I2C,0x11 + ACK
0.586898750000000,I2C,0x01 + ACK
0.640820500000000,I2C,Setup Write to [0x46] + ACK
0.644745750000000,I2C,0x11 + ACK
0.646110250000000,I2C,0x04 + ACK
0.690256250000000,I2C,Setup Write to [0x46] + ACK
0.694178500000000,I2C,0x11 + ACK
0.695524750000000,I2C,0x07 + ACK
0.739655000000000,I2C,Setup Write to [0x46] + ACK
0.743534750000000,I2C,0x11 + ACK
0.744946250000000,I2C,0x09 + ACK
0.789054500000000,I2C,Setup Write to [0x46] + ACK
0.792849750000000,I2C,0x11 + ACK
0.794322250000000,I2C,0x0A + ACK
1.147578750000000,I2C,Setup Write to [0x46] + ACK
1.151368500000000,I2C,0x11 + ACK
1.152708500000000,I2C,0x0A + ACK
1.206505500000000,I2C,Setup Write to [0x46] + ACK
1.210419000000000,I2C,0x11 + ACK
1.211767250000000,I2C,0x08 + ACK
1.255875250000000,I2C,Setup Write to [0x46] + ACK
1.259803500000000,I2C,0x11 + ACK
1.261170750000000,I2C,0x07 + ACK
1.300544000000000,I2C,Setup Write to [0x46] + ACK
1.304325000000000,I2C,0x11 + ACK
1.305670500000000,I2C,0x07 + ACK
1.354694250000000,I2C,Setup Write to [0x46] + ACK
1.358595500000000,I2C,0x11 + ACK
1.359982000000000,I2C,0x06 + ACK
1.401649000000000,I2C,Setup Write to [0x46] + ACK
1.405411750000000,I2C,0x11 + ACK
1.406944000000000,I2C,0x06 + ACK
1.451052500000000,I2C,Setup Write to [0x46] + ACK
1.454839750000000,I2C,0x11 + ACK
1.456187000000000,I2C,0x06 + ACK
1.505242000000000,I2C,Setup Write to [0x46] + ACK
1.509164750000000,I2C,0x11 + ACK
1.510512750000000,I2C,0x05 + ACK
1.547453000000000,I2C,Setup Write to [0x46] + ACK
1.551214000000000,I2C,0x11 + ACK
1.552584250000000,I2C,0x05 + ACK
1.620816000000000,I2C,Setup Write to [0x46] + ACK
1.624742250000000,I2C,0x11 + ACK
1.626088750000000,I2C,0x05 + ACK
1.663141500000000,I2C,Setup Write to [0x46] + ACK
1.666811750000000,I2C,0x11 + ACK
1.668268250000000,I2C,0x05 + ACK
1.714862250000000,I2C,Setup Write to [0x46] + ACK
1.718648000000000,I2C,0x11 + ACK
1.719991500000000,I2C,0x05 + ACK
