Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003791000000000,I2C,0x00 + ACK
0.005135250000000,I2C,0xFF + ACK
0.070656500000000,I2C,Setup Write to [0x46] + ACK
0.074437750000000,I2C,0x00 + ACK
0.075783750000000,I2C,0xFF + ACK
0.127115250000000,I2C,Setup Write to [0x46] + ACK
0.130902500000000,I2C,0x00 + ACK
0.132381500000000,I2C,0xFA + ACK
0.181289000000000,I2C,Setup Write to [0x46] + ACK
0.185204000000000,I2C,0x00 + ACK
0.186553250000000,I2C,0xED + ACK
0.230657500000000,I2C,Setup Write to [0x46] + ACK
0.234586750000000,I2C,0x00 + ACK
0.235950750000000,I2C,0xE5 + ACK
0.280081250000000,I2C,Setup Write to [0x46] + ACK
0.284011500000000,I2C,0x00 + ACK
0.285352000000000,I2C,0xD9 + ACK
0.332102250000000,I2C,Setup Write to [0x46] + ACK
0.335890250000000,I2C,0x00 + ACK
0.337231500000000,I2C,0xC8 + ACK
0.381383750000000,I2C,Setup Write to [0x46] + ACK
0.385281000000000,I2C,0x00 + ACK
0.386652000000000,I2C,0xBC + ACK
0.430755750000000,I2C,Setup Write to [0x46] + ACK
0.434678000000000,I2C,0x00 + ACK
0.436021750000000,I2C,0xB5 + ACK
0.844108000000000,I2C,Setup Write to [0x46] + ACK
0.847900000000000,I2C,0x00 + ACK
0.849366750000000,I2C,0xB8 + ACK
0.895826750000000,I2C,Setup Write to [0x46] + ACK
0.899753000000000,I2C,0x00 + ACK
0.901114250000000,I2C,0xC8 + ACK
0.945253250000000,I2C,Setup Write to [0x46] + ACK
0.949172000000000,I2C,0x00 + ACK
0.950516250000000,I2C,0xDD + ACK
0.997101750000000,I2C,Setup Write to [0x46] + ACK
1.000885250000000,I2C,0x00 + ACK
1.002230250000000,I2C,0xEC + ACK
1.046379000000000,I2C,Setup Write to [0x46] + ACK
1.050278500000000,I2C,0x00 + ACK
1.051652250000000,I2C,0xF5 + ACK
1.095759500000000,I2C,Setup Write to [0x46] + ACK
1.099679500000000,I2C,0x00 + ACK
1.101023500000000,I2C,0xFE + ACK
1.145170000000000,I2C,Setup Write to [0x46] + ACK
1.149090500000000,I2C,0x00 + ACK
1.150435500000000,I2C,0xFF + ACK
