Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003930500000000,I2C,0x02 + ACK
0.005277750000000,I2C,0x7D + ACK
0.115962250000000,I2C,Setup Write to [0x46] + ACK
0.119859500000000,I2C,0x02 + ACK
0.121250500000000,I2C,0x7C + ACK
0.165356500000000,I2C,Setup Write to [0x46] + ACK
0.169277000000000,I2C,0x02 + ACK
0.170624750000000,I2C,0x6B + ACK
0.214781250000000,I2C,Setup Write to [0x46] + ACK
0.218686000000000,I2C,0x02 + ACK
0.220060000000000,I2C,0x4E + ACK
0.266502250000000,I2C,Setup Write to [0x46] + ACK
0.270428250000000,I2C,0x02 + ACK
0.271777500000000,I2C,0x32 + ACK
0.315874750000000,I2C,Setup Write to [0x46] + ACK
0.319804750000000,I2C,0x02 + ACK
0.321168750000000,I2C,0x1C + ACK
0.365303250000000,I2C,Setup Write to [0x46] + ACK
0.369233250000000,I2C,0x02 + ACK
0.370573750000000,I2C,0x09 + ACK
0.414712250000000,I2C,Setup Write to [0x46] + ACK
0.418607250000000,I2C,0x02 + ACK
0.419998500000000,I2C,0x00 + ACK
0.875738250000000,I2C,Setup Write to [0x46] + ACK
0.879528000000000,I2C,0x02 + ACK
0.880871250000000,I2C,0x01 + ACK
0.929914750000000,I2C,Setup Write to [0x46] + ACK
0.933815750000000,I2C,0x02 + ACK
0.935189750000000,I2C,0x22 + ACK
0.981763000000000,I2C,Setup Write to [0x46] + ACK
0.985548000000000,I2C,0x02 + ACK
0.986897250000000,I2C,0x4D + ACK
1.030993750000000,I2C,Setup Write to [0x46] + ACK
1.034917000000000,I2C,0x02 + ACK
1.036281000000000,I2C,0x75 + ACK
1.080411750000000,I2C,Setup Write to [0x46] + ACK
1.084338750000000,I2C,0x02 + ACK
1.085678500000000,I2C,0xAE + ACK
1.129814250000000,I2C,Setup Write to [0x46] + ACK
1.133706500000000,I2C,0x02 + ACK
1.135096750000000,I2C,0xD3 + ACK
1.179203250000000,I2C,Setup Write to [0x46] + ACK
1.183122750000000,I2C,0x02 + ACK
1.184469750000000,I2C,0xE7 + ACK
1.230910250000000,I2C,Setup Write to [0x46] + ACK
1.234832500000000,I2C,0x02 + ACK
1.236175500000000,I2C,0xFF + ACK
1.591884250000000,I2C,Setup Write to [0x46] + ACK
1.595646500000000,I2C,0x02 + ACK
1.597147750000000,I2C,0xF9 + ACK
1.646022500000000,I2C,Setup Write to [0x46] + ACK
1.649946750000000,I2C,0x02 + ACK
1.651311000000000,I2C,0xCD + ACK
1.695443250000000,I2C,Setup Write to [0x46] + ACK
1.699371250000000,I2C,0x02 + ACK
1.700717500000000,I2C,0xB6 + ACK
1.744851000000000,I2C,Setup Write to [0x46] + ACK
1.748755250000000,I2C,0x02 + ACK
1.750148500000000,I2C,0xA2 + ACK
1.794261250000000,I2C,Setup Write to [0x46] + ACK
1.798334500000000,I2C,0x02 + ACK
1.799678000000000,I2C,0x8C + ACK
1.846134750000000,I2C,Setup Write to [0x46] + ACK
1.850062750000000,I2C,0x02 + ACK
1.851402750000000,I2C,0x7F + ACK
1.895559750000000,I2C,Setup Write to [0x46] + ACK
1.899484000000000,I2C,0x02 + ACK
1.900826500000000,I2C,0x7C + ACK
1.944933250000000,I2C,Setup Write to [0x46] + ACK
1.948861250000000,I2C,0x02 + ACK
1.950226250000000,I2C,0x78 + ACK
