Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003664500000000,I2C,0x04 + ACK
0.005140250000000,I2C,0x83 + ACK
0.075686500000000,I2C,Setup Write to [0x46] + ACK
0.079471750000000,I2C,0x04 + ACK
0.080820250000000,I2C,0x82 + ACK
0.122507250000000,I2C,Setup Write to [0x46] + ACK
0.126430500000000,I2C,0x04 + ACK
0.127773000000000,I2C,0x79 + ACK
0.171887000000000,I2C,Setup Write to [0x46] + ACK
0.175811000000000,I2C,0x04 + ACK
0.177176000000000,I2C,0x5B + ACK
0.221307500000000,I2C,Setup Write to [0x46] + ACK
0.225227750000000,I2C,0x04 + ACK
0.226574500000000,I2C,0x4A + ACK
0.270702750000000,I2C,Setup Write to [0x46] + ACK
0.274601500000000,I2C,0x04 + ACK
0.275995750000000,I2C,0x3C + ACK
0.322562750000000,I2C,Setup Write to [0x46] + ACK
0.326327750000000,I2C,0x04 + ACK
0.327701750000000,I2C,0x2B + ACK
0.371803500000000,I2C,Setup Write to [0x46] + ACK
0.375729750000000,I2C,0x04 + ACK
0.377069750000000,I2C,0x21 + ACK
0.421222250000000,I2C,Setup Write to [0x46] + ACK
0.425141500000000,I2C,0x04 + ACK
0.426484000000000,I2C,0x1F + ACK
0.470593500000000,I2C,Setup Write to [0x46] + ACK
0.474512750000000,I2C,0x04 + ACK
0.475877750000000,I2C,0x11 + ACK
0.520013750000000,I2C,Setup Write to [0x46] + ACK
0.523884750000000,I2C,0x04 + ACK
0.525287000000000,I2C,0x07 + ACK
0.876361000000000,I2C,Setup Write to [0x46] + ACK
0.880150000000000,I2C,0x04 + ACK
0.881490000000000,I2C,0x09 + ACK
0.935286500000000,I2C,Setup Write to [0x46] + ACK
0.939204000000000,I2C,0x04 + ACK
0.940549000000000,I2C,0x28 + ACK
0.987002500000000,I2C,Setup Write to [0x46] + ACK
0.990787250000000,I2C,0x04 + ACK
0.992128500000000,I2C,0x61 + ACK
1.036444250000000,I2C,Setup Write to [0x46] + ACK
1.040366750000000,I2C,0x04 + ACK
1.041715000000000,I2C,0x93 + ACK
1.085815500000000,I2C,Setup Write to [0x46] + ACK
1.089743500000000,I2C,0x04 + ACK
1.091110750000000,I2C,0xA4 + ACK
1.135242000000000,I2C,Setup Write to [0x46] + ACK
1.139172000000000,I2C,0x04 + ACK
1.140514500000000,I2C,0xB5 + ACK
1.187105750000000,I2C,Setup Write to [0x46] + ACK
1.190893000000000,I2C,0x04 + ACK
1.192236250000000,I2C,0xCD + ACK
1.236389000000000,I2C,Setup Write to [0x46] + ACK
1.240289500000000,I2C,0x04 + ACK
1.241656000000000,I2C,0xEA + ACK
1.285760750000000,I2C,Setup Write to [0x46] + ACK
1.289685750000000,I2C,0x04 + ACK
1.291026250000000,I2C,0xFB + ACK
1.335176500000000,I2C,Setup Write to [0x46] + ACK
1.339074000000000,I2C,0x04 + ACK
1.340440250000000,I2C,0xFF + ACK
1.972166750000000,I2C,Setup Write to [0x46] + ACK
1.975927750000000,I2C,0x04 + ACK
1.977318000000000,I2C,0xF9 + ACK
2.033409750000000,I2C,Setup Write to [0x46] + ACK
2.037332500000000,I2C,0x04 + ACK
2.038789500000000,I2C,0xE5 + ACK
2.082806750000000,I2C,Setup Write to [0x46] + ACK
2.086704750000000,I2C,0x04 + ACK
2.088098000000000,I2C,0xD0 + ACK
2.134797500000000,I2C,Setup Write to [0x46] + ACK
2.138437000000000,I2C,0x04 + ACK
2.139935500000000,I2C,0xC2 + ACK
2.184032000000000,I2C,Setup Write to [0x46] + ACK
2.187829750000000,I2C,0x04 + ACK
2.189298250000000,I2C,0xB6 + ACK
2.233331500000000,I2C,Setup Write to [0x46] + ACK
2.237257000000000,I2C,0x04 + ACK
2.238709750000000,I2C,0xAA + ACK
2.285303250000000,I2C,Setup Write to [0x46] + ACK
2.289093000000000,I2C,0x04 + ACK
2.290432750000000,I2C,0x9A + ACK
2.332128500000000,I2C,Setup Write to [0x46] + ACK
2.336054750000000,I2C,0x04 + ACK
2.337401000000000,I2C,0x91 + ACK
2.383972000000000,I2C,Setup Write to [0x46] + ACK
2.387766500000000,I2C,0x04 + ACK
2.389242750000000,I2C,0x90 + ACK
2.435819500000000,I2C,Setup Write to [0x46] + ACK
2.439605750000000,I2C,0x04 + ACK
2.440949000000000,I2C,0x8E + ACK
2.482637500000000,I2C,Setup Write to [0x46] + ACK
2.486568000000000,I2C,0x04 + ACK
2.487907250000000,I2C,0x8C + ACK
2.532069500000000,I2C,Setup Write to [0x46] + ACK
2.535994750000000,I2C,0x04 + ACK
2.537336500000000,I2C,0x8A + ACK
2.731461500000000,I2C,Setup Write to [0x46] + ACK
2.735389500000000,I2C,0x04 + ACK
2.736756750000000,I2C,0x89 + ACK
2.826082000000000,I2C,Setup Write to [0x46] + ACK
2.829867000000000,I2C,0x04 + ACK
2.831208750000000,I2C,0x87 + ACK
