Time [s], Analyzer Name, Decoded Protocol Result
0.000003750000000,I2C,Setup Write to [0x46] + ACK
0.003639500000000,I2C,0x01 + ACK
0.005162000000000,I2C,0x80 + ACK
0.059040500000000,I2C,Setup Write to [0x46] + ACK
0.062720750000000,I2C,0x01 + ACK
0.064193000000000,I2C,0x7F + ACK
0.105880500000000,I2C,Setup Write to [0x46] + ACK
0.109805000000000,I2C,0x01 + ACK
0.111172750000000,I2C,0x69 + ACK
0.155318750000000,I2C,Setup Write to [0x46] + ACK
0.159227000000000,I2C,0x01 + ACK
0.160592500000000,I2C,0x24 + ACK
0.204716500000000,I2C,Setup Write to [0x46] + ACK
0.208488750000000,I2C,0x01 + ACK
0.210008250000000,I2C,0x00 + ACK
0.584736000000000,I2C,Setup Write to [0x46] + ACK
0.588368000000000,I2C,0x01 + ACK
0.590017250000000,I2C,0x13 + ACK
0.636463750000000,I2C,Setup Write to [0x46] + ACK
0.640362000000000,I2C,0x01 + ACK
0.641733000000000,I2C,0x65 + ACK
0.685840750000000,I2C,Setup Write to [0x46] + ACK
0.689764250000000,I2C,0x01 + ACK
0.691107500000000,I2C,0xB1 + ACK
0.737556750000000,I2C,Setup Write to [0x46] + ACK
0.741480500000000,I2C,0x01 + ACK
0.742847500000000,I2C,0xD3 + ACK
0.786974500000000,I2C,Setup Write to [0x46] + ACK
0.790900250000000,I2C,0x01 + ACK
0.792246750000000,I2C,0xE0 + ACK
0.850823500000000,I2C,Setup Write to [0x46] + ACK
0.854745250000000,I2C,0x01 + ACK
0.856091750000000,I2C,0xEA + ACK
0.902552500000000,I2C,Setup Write to [0x46] + ACK
0.906479500000000,I2C,0x01 + ACK
0.907826750000000,I2C,0xFF + ACK
1.280247500000000,I2C,Setup Write to [0x46] + ACK
1.283990500000000,I2C,0x01 + ACK
1.285399000000000,I2C,0xFE + ACK
1.334399750000000,I2C,Setup Write to [0x46] + ACK
1.338198500000000,I2C,0x01 + ACK
1.339664500000000,I2C,0xD9 + ACK
1.386116500000000,I2C,Setup Write to [0x46] + ACK
1.390044750000000,I2C,0x01 + ACK
1.391405500000000,I2C,0xB5 + ACK
1.435536000000000,I2C,Setup Write to [0x46] + ACK
1.439461000000000,I2C,0x01 + ACK
1.440804500000000,I2C,0x97 + ACK
1.484926000000000,I2C,Setup Write to [0x46] + ACK
1.488808250000000,I2C,0x01 + ACK
1.490219500000000,I2C,0x8A + ACK
1.534333000000000,I2C,Setup Write to [0x46] + ACK
1.538124750000000,I2C,0x01 + ACK
1.539601250000000,I2C,0x87 + ACK
1.785993250000000,I2C,Setup Write to [0x46] + ACK
1.789782500000000,I2C,0x01 + ACK
1.791122000000000,I2C,0x86 + ACK
1.832975500000000,I2C,Setup Write to [0x46] + ACK
1.836762000000000,I2C,0x01 + ACK
1.838102500000000,I2C,0x82 + ACK
1.913284750000000,I2C,Setup Write to [0x46] + ACK
1.917074000000000,I2C,0x01 + ACK
1.918417000000000,I2C,0x80 + ACK
