Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003739750000000,I2C,0x08 + ACK
0.005155750000000,I2C,0xE8 + ACK
0.056508250000000,I2C,Setup Write to [0x46] + ACK
0.060273000000000,I2C,0x08 + ACK
0.061646500000000,I2C,0xE8 + ACK
0.108231250000000,I2C,Setup Write to [0x46] + ACK
0.112016250000000,I2C,0x08 + ACK
0.113364500000000,I2C,0xE7 + ACK
0.162386500000000,I2C,Setup Write to [0x46] + ACK
0.166289000000000,I2C,0x08 + ACK
0.167682000000000,I2C,0xE3 + ACK
0.211796500000000,I2C,Setup Write to [0x46] + ACK
0.215719250000000,I2C,0x08 + ACK
0.217066750000000,I2C,0xDC + ACK
0.261211750000000,I2C,Setup Write to [0x46] + ACK
0.265112000000000,I2C,0x08 + ACK
0.266481250000000,I2C,0xD6 + ACK
0.310579000000000,I2C,Setup Write to [0x46] + ACK
0.314507000000000,I2C,0x08 + ACK
0.315843750000000,I2C,0xC8 + ACK
0.360003000000000,I2C,Setup Write to [0x46] + ACK
0.363899250000000,I2C,0x08 + ACK
0.365263000000000,I2C,0xB4 + ACK
0.411719750000000,I2C,Setup Write to [0x46] + ACK
0.415643750000000,I2C,0x08 + ACK
0.416987250000000,I2C,0x9D + ACK
0.461115750000000,I2C,Setup Write to [0x46] + ACK
0.465016000000000,I2C,0x08 + ACK
0.466409000000000,I2C,0x8D + ACK
0.510521750000000,I2C,Setup Write to [0x46] + ACK
0.514447000000000,I2C,0x08 + ACK
0.515794250000000,I2C,0x80 + ACK
0.966772000000000,I2C,Setup Write to [0x46] + ACK
0.970562750000000,I2C,0x08 + ACK
0.971930000000000,I2C,0x81 + ACK
1.025723250000000,I2C,Setup Write to [0x46] + ACK
1.029644250000000,I2C,0x08 + ACK
1.030981000000000,I2C,0xA1 + ACK
1.077424500000000,I2C,Setup Write to [0x46] + ACK
1.081351000000000,I2C,0x08 + ACK
1.082711500000000,I2C,0xBE + ACK
1.126843750000000,I2C,Setup Write to [0x46] + ACK
1.130764500000000,I2C,0x08 + ACK
1.132108000000000,I2C,0xD9 + ACK
1.176240250000000,I2C,Setup Write to [0x46] + ACK
1.180134500000000,I2C,0x08 + ACK
1.181527750000000,I2C,0xF0 + ACK
1.225636250000000,I2C,Setup Write to [0x46] + ACK
1.229559000000000,I2C,0x08 + ACK
1.230906500000000,I2C,0xFF + ACK
2.095798500000000,I2C,Setup Write to [0x46] + ACK
2.099583500000000,I2C,0x08 + ACK
2.100928000000000,I2C,0xFE + ACK
2.157032000000000,I2C,Setup Write to [0x46] + ACK
2.160958000000000,I2C,0x08 + ACK
2.162294750000000,I2C,0xF6 + ACK
2.206461000000000,I2C,Setup Write to [0x46] + ACK
2.210375250000000,I2C,0x08 + ACK
2.211720750000000,I2C,0xEA + ACK
2.255838000000000,I2C,Setup Write to [0x46] + ACK
2.259760750000000,I2C,0x08 + ACK
2.261127750000000,I2C,0xE4 + ACK
2.307575000000000,I2C,Setup Write to [0x46] + ACK
2.311474500000000,I2C,0x08 + ACK
2.312867750000000,I2C,0xDE + ACK
2.356975750000000,I2C,Setup Write to [0x46] + ACK
2.360897750000000,I2C,0x08 + ACK
2.362245250000000,I2C,0xD9 + ACK
2.406398750000000,I2C,Setup Write to [0x46] + ACK
2.410301000000000,I2C,0x08 + ACK
2.411670250000000,I2C,0xD7 + ACK
2.455779000000000,I2C,Setup Write to [0x46] + ACK
2.459706000000000,I2C,0x08 + ACK
2.461042750000000,I2C,0xD4 + ACK
2.505209000000000,I2C,Setup Write to [0x46] + ACK
2.509131250000000,I2C,0x08 + ACK
2.510476750000000,I2C,0xD1 + ACK
2.556918750000000,I2C,Setup Write to [0x46] + ACK
2.560841750000000,I2C,0x08 + ACK
2.562185250000000,I2C,0xCD + ACK
2.606312000000000,I2C,Setup Write to [0x46] + ACK
2.610213750000000,I2C,0x08 + ACK
2.611606750000000,I2C,0xCC + ACK
2.655719750000000,I2C,Setup Write to [0x46] + ACK
2.659641500000000,I2C,0x08 + ACK
2.660989000000000,I2C,0xCA + ACK
2.705132750000000,I2C,Setup Write to [0x46] + ACK
2.709033000000000,I2C,0x08 + ACK
2.710402250000000,I2C,0xC9 + ACK
2.754506750000000,I2C,Setup Write to [0x46] + ACK
2.758413750000000,I2C,0x08 + ACK
2.759768500000000,I2C,0xC8 + ACK
2.820688750000000,I2C,Setup Write to [0x46] + ACK
2.824610250000000,I2C,0x08 + ACK
2.825954750000000,I2C,0xC6 + ACK
2.886671250000000,I2C,Setup Write to [0x46] + ACK
2.890598500000000,I2C,0x08 + ACK
2.891965750000000,I2C,0xC5 + ACK
2.938530750000000,I2C,Setup Write to [0x46] + ACK
2.942301500000000,I2C,0x08 + ACK
2.943824000000000,I2C,0xC1 + ACK
3.040344000000000,I2C,Setup Write to [0x46] + ACK
3.044106250000000,I2C,0x08 + ACK
3.045479250000000,I2C,0xC1 + ACK
3.134784500000000,I2C,Setup Write to [0x46] + ACK
3.138571750000000,I2C,0x08 + ACK
3.140051250000000,I2C,0xC1 + ACK
3.186494250000000,I2C,Setup Write to [0x46] + ACK
