Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003790750000000,I2C,0x0B + ACK
0.005136750000000,I2C,0x9D + ACK
0.054047250000000,I2C,Setup Write to [0x46] + ACK
0.057700500000000,I2C,0x0B + ACK
0.059176250000000,I2C,0x9C + ACK
0.112853000000000,I2C,Setup Write to [0x46] + ACK
0.116754250000000,I2C,0x0B + ACK
0.118233000000000,I2C,0x90 + ACK
0.164697750000000,I2C,Setup Write to [0x46] + ACK
0.168616000000000,I2C,0x0B + ACK
0.169959000000000,I2C,0x84 + ACK
0.214064750000000,I2C,Setup Write to [0x46] + ACK
0.217864500000000,I2C,0x0B + ACK
0.219349000000000,I2C,0x80 + ACK
0.760704500000000,I2C,Setup Write to [0x46] + ACK
0.764625000000000,I2C,0x0B + ACK
0.765990750000000,I2C,0x82 + ACK
0.812441000000000,I2C,Setup Write to [0x46] + ACK
0.816342500000000,I2C,0x0B + ACK
0.817738000000000,I2C,0x89 + ACK
0.861840500000000,I2C,Setup Write to [0x46] + ACK
0.865767750000000,I2C,0x0B + ACK
0.867113750000000,I2C,0x92 + ACK
0.911262500000000,I2C,Setup Write to [0x46] + ACK
0.915164500000000,I2C,0x0B + ACK
0.916532250000000,I2C,0xA0 + ACK
0.960647000000000,I2C,Setup Write to [0x46] + ACK
0.964571250000000,I2C,0x0B + ACK
0.965906500000000,I2C,0xAD + ACK
1.012360500000000,I2C,Setup Write to [0x46] + ACK
1.016291000000000,I2C,0x0B + ACK
1.017650250000000,I2C,0xB9 + ACK
1.061784500000000,I2C,Setup Write to [0x46] + ACK
1.065701500000000,I2C,0x0B + ACK
1.067043500000000,I2C,0xC8 + ACK
1.111169500000000,I2C,Setup Write to [0x46] + ACK
1.115060000000000,I2C,0x0B + ACK
1.116451750000000,I2C,0xD9 + ACK
1.160559750000000,I2C,Setup Write to [0x46] + ACK
1.164479750000000,I2C,0x0B + ACK
1.165825750000000,I2C,0xE8 + ACK
1.209970500000000,I2C,Setup Write to [0x46] + ACK
1.213867000000000,I2C,0x0B + ACK
1.215234750000000,I2C,0xEF + ACK
1.261673500000000,I2C,Setup Write to [0x46] + ACK
1.265595000000000,I2C,0x0B + ACK
1.266938000000000,I2C,0xF8 + ACK
1.311038250000000,I2C,Setup Write to [0x46] + ACK
1.314967500000000,I2C,0x0B + ACK
1.316326750000000,I2C,0xFF + ACK
2.352441500000000,I2C,Setup Write to [0x46] + ACK
2.356226750000000,I2C,0x0B + ACK
2.357638250000000,I2C,0xFE + ACK
2.413838500000000,I2C,Setup Write to [0x46] + ACK
2.417735500000000,I2C,0x0B + ACK
2.419119000000000,I2C,0xF9 + ACK
2.475231000000000,I2C,Setup Write to [0x46] + ACK
2.479152250000000,I2C,0x0B + ACK
2.480495250000000,I2C,0xF1 + ACK
2.524644500000000,I2C,Setup Write to [0x46] + ACK
2.528544000000000,I2C,0x0B + ACK
2.529915500000000,I2C,0xEA + ACK
2.574016250000000,I2C,Setup Write to [0x46] + ACK
2.577946250000000,I2C,0x0B + ACK
2.579288000000000,I2C,0xE4 + ACK
2.623443000000000,I2C,Setup Write to [0x46] + ACK
2.627236000000000,I2C,0x0B + ACK
2.628708250000000,I2C,0xE0 + ACK
2.675154250000000,I2C,Setup Write to [0x46] + ACK
2.679080500000000,I2C,0x0B + ACK
2.680421500000000,I2C,0xDF + ACK
2.724550000000000,I2C,Setup Write to [0x46] + ACK
2.728449500000000,I2C,0x0B + ACK
2.729834750000000,I2C,0xDB + ACK
2.773950750000000,I2C,Setup Write to [0x46] + ACK
2.777853750000000,I2C,0x0B + ACK
2.779215000000000,I2C,0xD9 + ACK
2.823371250000000,I2C,Setup Write to [0x46] + ACK
2.827142750000000,I2C,0x0B + ACK
2.828643250000000,I2C,0xD8 + ACK
2.872735500000000,I2C,Setup Write to [0x46] + ACK
2.876547250000000,I2C,0x0B + ACK
2.878018250000000,I2C,0xD7 + ACK
2.924459000000000,I2C,Setup Write to [0x46] + ACK
2.928389000000000,I2C,0x0B + ACK
2.929755000000000,I2C,0xD5 + ACK
2.973878000000000,I2C,Setup Write to [0x46] + ACK
2.977793750000000,I2C,0x0B + ACK
2.979153000000000,I2C,0xD4 + ACK
3.023288750000000,I2C,Setup Write to [0x46] + ACK
3.027058750000000,I2C,0x0B + ACK
3.028573000000000,I2C,0xD2 + ACK
3.072666250000000,I2C,Setup Write to [0x46] + ACK
3.076474750000000,I2C,0x0B + ACK
3.077946750000000,I2C,0xCD + ACK
3.124395750000000,I2C,Setup Write to [0x46] + ACK
3.128319000000000,I2C,0x0B + ACK
3.129658000000000,I2C,0xC7 + ACK
3.173818500000000,I2C,Setup Write to [0x46] + ACK
3.177718000000000,I2C,0x0B + ACK
3.179082750000000,I2C,0xC2 + ACK
3.223199750000000,I2C,Setup Write to [0x46] + ACK
3.226993500000000,I2C,0x0B + ACK
3.228488500000000,I2C,0xBC + ACK
3.272602500000000,I2C,Setup Write to [0x46] + ACK
3.276421750000000,I2C,0x0B + ACK
3.277891750000000,I2C,0xB9 + ACK
3.321909250000000,I2C,Setup Write to [0x46] + ACK
3.325815500000000,I2C,0x0B + ACK
3.327201000000000,I2C,0xB7 + ACK
3.371312000000000,I2C,Setup Write to [0x46] + ACK
3.375228250000000,I2C,0x0B + ACK
3.376571250000000,I2C,0xB4 + ACK
3.430392000000000,I2C,Setup Write to [0x46] + ACK
3.434182750000000,I2C,0x0B + ACK
3.435528000000000,I2C,0xB0 + ACK
3.489345250000000,I2C,Setup Write to [0x46] + ACK
3.493264000000000,I2C,0x0B + ACK
3.494604500000000,I2C,0xAE + ACK
3.688568500000000,I2C,Setup Write to [0x46] + ACK
3.692472250000000,I2C,0x0B + ACK
3.693856250000000,I2C,0xAF + ACK
3.737987250000000,I2C,Setup Write to [0x46] + ACK
3.741781250000000,I2C,0x0B + ACK
3.743251750000000,I2C,0xB0 + ACK
3.784944000000000,I2C,Setup Write to [0x46] + ACK
3.788729750000000,I2C,0x0B + ACK
3.790209000000000,I2C,0xB0 + ACK
