Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003787000000000,I2C,0x0F + ACK
0.005129250000000,I2C,0xC6 + ACK
0.082626750000000,I2C,Setup Write to [0x46] + ACK
0.086391500000000,I2C,0x0F + ACK
0.087762500000000,I2C,0xC6 + ACK
0.129581500000000,I2C,Setup Write to [0x46] + ACK
0.133486000000000,I2C,0x0F + ACK
0.134850500000000,I2C,0xC1 + ACK
0.178962750000000,I2C,Setup Write to [0x46] + ACK
0.182756750000000,I2C,0x0F + ACK
0.184224250000000,I2C,0xB0 + ACK
0.228370750000000,I2C,Setup Write to [0x46] + ACK
0.232174500000000,I2C,0x0F + ACK
0.233649500000000,I2C,0x97 + ACK
0.280086750000000,I2C,Setup Write to [0x46] + ACK
0.284013750000000,I2C,0x0F + ACK
0.285358000000000,I2C,0x85 + ACK
0.329486750000000,I2C,Setup Write to [0x46] + ACK
0.333365500000000,I2C,0x0F + ACK
0.334775000000000,I2C,0x80 + ACK
0.928351000000000,I2C,Setup Write to [0x46] + ACK
0.932150000000000,I2C,0x0F + ACK
0.933624250000000,I2C,0x82 + ACK
0.977878500000000,I2C,Setup Write to [0x46] + ACK
0.981706000000000,I2C,0x0F + ACK
0.983185000000000,I2C,0x97 + ACK
1.027184250000000,I2C,Setup Write to [0x46] + ACK
1.031105250000000,I2C,0x0F + ACK
1.032440000000000,I2C,0xB7 + ACK
1.076594000000000,I2C,Setup Write to [0x46] + ACK
1.080511250000000,I2C,0x0F + ACK
1.081854750000000,I2C,0xDD + ACK
1.128428500000000,I2C,Setup Write to [0x46] + ACK
1.132225250000000,I2C,0x0F + ACK
1.133695750000000,I2C,0xF9 + ACK
1.177698250000000,I2C,Setup Write to [0x46] + ACK
1.181593000000000,I2C,0x0F + ACK
1.183095000000000,I2C,0xFF + ACK
1.824191000000000,I2C,Setup Write to [0x46] + ACK
1.828071250000000,I2C,0x0F + ACK
1.829480500000000,I2C,0xFC + ACK
1.875921250000000,I2C,Setup Write to [0x46] + ACK
1.879817500000000,I2C,0x0F + ACK
1.881188500000000,I2C,0xEF + ACK
1.925291000000000,I2C,Setup Write to [0x46] + ACK
1.929214750000000,I2C,0x0F + ACK
1.930556000000000,I2C,0xE0 + ACK
1.974869250000000,I2C,Setup Write to [0x46] + ACK
1.978790750000000,I2C,0x0F + ACK
1.980133250000000,I2C,0xD4 + ACK
2.024240500000000,I2C,Setup Write to [0x46] + ACK
2.028169750000000,I2C,0x0F + ACK
2.029528000000000,I2C,0xC8 + ACK
2.075975750000000,I2C,Setup Write to [0x46] + ACK
2.079876000000000,I2C,0x0F + ACK
2.081260750000000,I2C,0xBF + ACK
2.125380500000000,I2C,Setup Write to [0x46] + ACK
2.129299000000000,I2C,0x0F + ACK
2.130641250000000,I2C,0xBD + ACK
2.258092000000000,I2C,Setup Write to [0x46] + ACK
2.261857250000000,I2C,0x0F + ACK
2.263357250000000,I2C,0xBE + ACK
2.302656500000000,I2C,Setup Write to [0x46] + ACK
2.306370000000000,I2C,0x0F + ACK
2.307819500000000,I2C,0xBE + ACK
2.356760250000000,I2C,Setup Write to [0x46] + ACK
2.360681250000000,I2C,0x0F + ACK
2.362023750000000,I2C,0xBF + ACK
2.425208750000000,I2C,Setup Write to [0x46] + ACK
2.429134000000000,I2C,0x0F + ACK
2.430478000000000,I2C,0xC0 + ACK
2.474600250000000,I2C,Setup Write to [0x46] + ACK
2.478498250000000,I2C,0x0F + ACK
2.479889500000000,I2C,0xC1 + ACK
2.547810750000000,I2C,Setup Write to [0x46] + ACK
2.551485000000000,I2C,0x0F + ACK
2.552938250000000,I2C,0xC1 + ACK
2.606631000000000,I2C,Setup Write to [0x46] + ACK
2.610527000000000,I2C,0x0F + ACK
2.611895250000000,I2C,0xC5 + ACK
