Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003789250000000,I2C,0x0C + ACK
0.005137000000000,I2C,0xD3 + ACK
0.056613500000000,I2C,Setup Write to [0x46] + ACK
0.060267500000000,I2C,0x0C + ACK
0.061877250000000,I2C,0xD2 + ACK
0.110767750000000,I2C,Setup Write to [0x46] + ACK
0.114569250000000,I2C,0x0C + ACK
0.116039500000000,I2C,0xC8 + ACK
0.160022000000000,I2C,Setup Write to [0x46] + ACK
0.163944250000000,I2C,0x0C + ACK
0.165307750000000,I2C,0xB5 + ACK
0.209444000000000,I2C,Setup Write to [0x46] + ACK
0.213366250000000,I2C,0x0C + ACK
0.214711750000000,I2C,0xA8 + ACK
0.258837000000000,I2C,Setup Write to [0x46] + ACK
0.262739000000000,I2C,0x0C + ACK
0.264131750000000,I2C,0x9C + ACK
0.315338750000000,I2C,Setup Write to [0x46] + ACK
0.319120000000000,I2C,0x0C + ACK
0.320538250000000,I2C,0x94 + ACK
0.376703250000000,I2C,Setup Write to [0x46] + ACK
0.380571000000000,I2C,0x0C + ACK
0.381969000000000,I2C,0x86 + ACK
0.426123750000000,I2C,Setup Write to [0x46] + ACK
0.429913750000000,I2C,0x0C + ACK
0.431391000000000,I2C,0x80 + ACK
1.374663750000000,I2C,Setup Write to [0x46] + ACK
1.378591500000000,I2C,0x0C + ACK
1.379955000000000,I2C,0x81 + ACK
1.424085250000000,I2C,Setup Write to [0x46] + ACK
1.428006500000000,I2C,0x0C + ACK
1.429352000000000,I2C,0x8A + ACK
1.473482500000000,I2C,Setup Write to [0x46] + ACK
1.477381500000000,I2C,0x0C + ACK
1.478774000000000,I2C,0x92 + ACK
1.522886250000000,I2C,Setup Write to [0x46] + ACK
1.526810500000000,I2C,0x0C + ACK
1.528153250000000,I2C,0x9A + ACK
1.572299500000000,I2C,Setup Write to [0x46] + ACK
1.576199750000000,I2C,0x0C + ACK
1.577565500000000,I2C,0xA2 + ACK
1.624171000000000,I2C,Setup Write to [0x46] + ACK
1.628086500000000,I2C,0x0C + ACK
1.629427750000000,I2C,0xB0 + ACK
1.673542750000000,I2C,Setup Write to [0x46] + ACK
1.677465250000000,I2C,0x0C + ACK
1.678829000000000,I2C,0xC3 + ACK
1.722960750000000,I2C,Setup Write to [0x46] + ACK
1.726883000000000,I2C,0x0C + ACK
1.728228500000000,I2C,0xD1 + ACK
1.772352250000000,I2C,Setup Write to [0x46] + ACK
1.776263250000000,I2C,0x0C + ACK
1.777656000000000,I2C,0xE2 + ACK
1.821770000000000,I2C,Setup Write to [0x46] + ACK
1.825691500000000,I2C,0x0C + ACK
1.827034250000000,I2C,0xF0 + ACK
1.873480250000000,I2C,Setup Write to [0x46] + ACK
1.877410250000000,I2C,0x0C + ACK
1.878749000000000,I2C,0xFB + ACK
1.922911500000000,I2C,Setup Write to [0x46] + ACK
1.926830500000000,I2C,0x0C + ACK
1.928171750000000,I2C,0xFF + ACK
2.997645000000000,I2C,Setup Write to [0x46] + ACK
3.001410000000000,I2C,0x0C + ACK
3.002776000000000,I2C,0xFE + ACK
3.051784750000000,I2C,Setup Write to [0x46] + ACK
3.055712000000000,I2C,0x0C + ACK
3.057074500000000,I2C,0xFB + ACK
3.103520000000000,I2C,Setup Write to [0x46] + ACK
3.107423000000000,I2C,0x0C + ACK
3.108811750000000,I2C,0xF3 + ACK
3.152920750000000,I2C,Setup Write to [0x46] + ACK
3.156841000000000,I2C,0x0C + ACK
3.158181000000000,I2C,0xE9 + ACK
3.202334750000000,I2C,Setup Write to [0x46] + ACK
3.206230000000000,I2C,0x0C + ACK
3.207599500000000,I2C,0xDD + ACK
3.256600750000000,I2C,Setup Write to [0x46] + ACK
3.260392000000000,I2C,0x0C + ACK
3.261751750000000,I2C,0xD3 + ACK
3.298668000000000,I2C,Setup Write to [0x46] + ACK
3.302457000000000,I2C,0x0C + ACK
3.303926750000000,I2C,0xC6 + ACK
3.364697250000000,I2C,Setup Write to [0x46] + ACK
3.368482000000000,I2C,0x0C + ACK
3.369903500000000,I2C,0xBE + ACK
3.418856000000000,I2C,Setup Write to [0x46] + ACK
3.422755500000000,I2C,0x0C + ACK
3.424147750000000,I2C,0xBC + ACK
3.468254500000000,I2C,Setup Write to [0x46] + ACK
3.472174750000000,I2C,0x0C + ACK
3.473521250000000,I2C,0xBB + ACK
