Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003805000000000,I2C,0x0E + ACK
0.005272000000000,I2C,0xB9 + ACK
0.049417000000000,I2C,Setup Write to [0x46] + ACK
0.053226500000000,I2C,0x0E + ACK
0.054696000000000,I2C,0xB7 + ACK
0.098670250000000,I2C,Setup Write to [0x46] + ACK
0.102590500000000,I2C,0x0E + ACK
0.103953500000000,I2C,0xA6 + ACK
0.148084250000000,I2C,Setup Write to [0x46] + ACK
0.152008500000000,I2C,0x0E + ACK
0.153353250000000,I2C,0x91 + ACK
0.197473750000000,I2C,Setup Write to [0x46] + ACK
0.201381750000000,I2C,0x0E + ACK
0.202773750000000,I2C,0x84 + ACK
0.249331000000000,I2C,Setup Write to [0x46] + ACK
0.253122000000000,I2C,0x0E + ACK
0.254623000000000,I2C,0x80 + ACK
0.767533000000000,I2C,Setup Write to [0x46] + ACK
0.771315250000000,I2C,0x0E + ACK
0.772662000000000,I2C,0x81 + ACK
0.814481500000000,I2C,Setup Write to [0x46] + ACK
0.818278750000000,I2C,0x0E + ACK
0.819751000000000,I2C,0x98 + ACK
0.863729500000000,I2C,Setup Write to [0x46] + ACK
0.867658000000000,I2C,0x0E + ACK
0.869090750000000,I2C,0xB0 + ACK
0.913150500000000,I2C,Setup Write to [0x46] + ACK
0.917075500000000,I2C,0x0E + ACK
0.918417500000000,I2C,0xBF + ACK
0.964996000000000,I2C,Setup Write to [0x46] + ACK
0.968784250000000,I2C,0x0E + ACK
0.970256250000000,I2C,0xD4 + ACK
1.019152000000000,I2C,Setup Write to [0x46] + ACK
1.022826250000000,I2C,0x0E + ACK
1.024277750000000,I2C,0xF2 + ACK
1.080399500000000,I2C,Setup Write to [0x46] + ACK
1.084306250000000,I2C,0x0E + ACK
1.085663250000000,I2C,0xFF + ACK
1.715086750000000,I2C,Setup Write to [0x46] + ACK
1.718748500000000,I2C,0x0E + ACK
1.720236750000000,I2C,0xFC + ACK
1.778654500000000,I2C,Setup Write to [0x46] + ACK
1.782583000000000,I2C,0x0E + ACK
1.784057250000000,I2C,0xEA + ACK
1.828084500000000,I2C,Setup Write to [0x46] + ACK
1.832004750000000,I2C,0x0E + ACK
1.833349500000000,I2C,0xD9 + ACK
1.877479500000000,I2C,Setup Write to [0x46] + ACK
1.881379500000000,I2C,0x0E + ACK
1.882771500000000,I2C,0xCE + ACK
1.926875500000000,I2C,Setup Write to [0x46] + ACK
1.930802000000000,I2C,0x0E + ACK
1.932143750000000,I2C,0xC9 + ACK
1.978590000000000,I2C,Setup Write to [0x46] + ACK
1.982527000000000,I2C,0x0E + ACK
1.983976000000000,I2C,0xC2 + ACK
2.035224000000000,I2C,Setup Write to [0x46] + ACK
2.038968250000000,I2C,0x0E + ACK
2.040378250000000,I2C,0xBC + ACK
