Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003766250000000,I2C,0x0A + ACK
0.005138500000000,I2C,0x9E + ACK
0.056473000000000,I2C,Setup Write to [0x46] + ACK
0.060395000000000,I2C,0x0A + ACK
0.061734250000000,I2C,0x9D + ACK
0.120171750000000,I2C,Setup Write to [0x46] + ACK
0.123961750000000,I2C,0x0A + ACK
0.125300750000000,I2C,0x9C + ACK
0.174355500000000,I2C,Setup Write to [0x46] + ACK
0.178251500000000,I2C,0x0A + ACK
0.179620000000000,I2C,0x93 + ACK
0.226066500000000,I2C,Setup Write to [0x46] + ACK
0.229988750000000,I2C,0x0A + ACK
0.231332500000000,I2C,0x8D + ACK
0.275438500000000,I2C,Setup Write to [0x46] + ACK
0.279371000000000,I2C,0x0A + ACK
0.280730750000000,I2C,0x80 + ACK
0.986251000000000,I2C,Setup Write to [0x46] + ACK
0.990036000000000,I2C,0x0A + ACK
0.991518750000000,I2C,0x84 + ACK
1.040418750000000,I2C,Setup Write to [0x46] + ACK
1.044312500000000,I2C,0x0A + ACK
1.045704750000000,I2C,0xA4 + ACK
1.089823500000000,I2C,Setup Write to [0x46] + ACK
1.093747500000000,I2C,0x0A + ACK
1.095094250000000,I2C,0xC1 + ACK
1.139246500000000,I2C,Setup Write to [0x46] + ACK
1.143154500000000,I2C,0x0A + ACK
1.144523000000000,I2C,0xDE + ACK
1.188628750000000,I2C,Setup Write to [0x46] + ACK
1.192557750000000,I2C,0x0A + ACK
1.193893750000000,I2C,0xF7 + ACK
1.240340250000000,I2C,Setup Write to [0x46] + ACK
1.244266500000000,I2C,0x0A + ACK
1.245626500000000,I2C,0xFF + ACK
1.713359250000000,I2C,Setup Write to [0x46] + ACK
1.717124000000000,I2C,0x0A + ACK
1.718496500000000,I2C,0xFE + ACK
1.772271500000000,I2C,Setup Write to [0x46] + ACK
1.776044500000000,I2C,0x0A + ACK
1.777559750000000,I2C,0xEA + ACK
1.821615750000000,I2C,Setup Write to [0x46] + ACK
1.825459500000000,I2C,0x0A + ACK
1.826914000000000,I2C,0xD9 + ACK
1.870950250000000,I2C,Setup Write to [0x46] + ACK
1.874850750000000,I2C,0x0A + ACK
1.876223000000000,I2C,0xCD + ACK
1.920323250000000,I2C,Setup Write to [0x46] + ACK
1.924250000000000,I2C,0x0A + ACK
1.925592750000000,I2C,0xC8 + ACK
1.969747000000000,I2C,Setup Write to [0x46] + ACK
1.973670250000000,I2C,0x0A + ACK
1.975014000000000,I2C,0xC1 + ACK
2.021540000000000,I2C,Setup Write to [0x46] + ACK
2.025391250000000,I2C,0x0A + ACK
2.026844000000000,I2C,0xC0 + ACK
2.070864750000000,I2C,Setup Write to [0x46] + ACK
2.074768250000000,I2C,0x0A + ACK
2.076154250000000,I2C,0xBF + ACK
2.120274750000000,I2C,Setup Write to [0x46] + ACK
2.124195000000000,I2C,0x0A + ACK
2.125538750000000,I2C,0xBE + ACK
