Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003920500000000,I2C,0x09 + ACK
0.005267500000000,I2C,0x47 + ACK
0.049409000000000,I2C,Setup Write to [0x46] + ACK
0.053313750000000,I2C,0x09 + ACK
0.054687000000000,I2C,0x45 + ACK
0.101140000000000,I2C,Setup Write to [0x46] + ACK
0.105055250000000,I2C,0x09 + ACK
0.106514500000000,I2C,0x41 + ACK
0.150513500000000,I2C,Setup Write to [0x46] + ACK
0.154443000000000,I2C,0x09 + ACK
0.155806250000000,I2C,0x38 + ACK
0.199939750000000,I2C,Setup Write to [0x46] + ACK
0.203864750000000,I2C,0x09 + ACK
0.205204500000000,I2C,0x2A + ACK
0.249346750000000,I2C,Setup Write to [0x46] + ACK
0.253245750000000,I2C,0x09 + ACK
0.254636250000000,I2C,0x21 + ACK
0.298753000000000,I2C,Setup Write to [0x46] + ACK
0.302669500000000,I2C,0x09 + ACK
0.304016500000000,I2C,0x14 + ACK
0.359986250000000,I2C,Setup Write to [0x46] + ACK
0.363751000000000,I2C,0x09 + ACK
0.365144500000000,I2C,0x02 + ACK
0.416595000000000,I2C,Setup Write to [0x46] + ACK
0.420401500000000,I2C,0x09 + ACK
0.421876000000000,I2C,0x00 + ACK
0.825083500000000,I2C,Setup Write to [0x46] + ACK
0.828844500000000,I2C,0x09 + ACK
0.830214750000000,I2C,0x01 + ACK
0.881684000000000,I2C,Setup Write to [0x46] + ACK
0.885482750000000,I2C,0x09 + ACK
0.886954250000000,I2C,0x22 + ACK
0.931182750000000,I2C,Setup Write to [0x46] + ACK
0.935009250000000,I2C,0x09 + ACK
0.936525750000000,I2C,0x3F + ACK
0.980518500000000,I2C,Setup Write to [0x46] + ACK
0.984445250000000,I2C,0x09 + ACK
0.985789500000000,I2C,0x4D + ACK
1.029937000000000,I2C,Setup Write to [0x46] + ACK
1.033832750000000,I2C,0x09 + ACK
1.035205750000000,I2C,0x5F + ACK
1.081784250000000,I2C,Setup Write to [0x46] + ACK
1.085571750000000,I2C,0x09 + ACK
1.087049000000000,I2C,0x6D + ACK
1.126378500000000,I2C,Setup Write to [0x46] + ACK
1.130056750000000,I2C,0x09 + ACK
1.131522500000000,I2C,0x47 + ACK
1.729910750000000,I2C,Setup Write to [0x46] + ACK
1.733832250000000,I2C,0x09 + ACK
1.735178750000000,I2C,0x7F + ACK
2.678588500000000,I2C,Setup Write to [0x46] + ACK
2.682482750000000,I2C,0x09 + ACK
2.683873000000000,I2C,0x7E + ACK
2.727987000000000,I2C,Setup Write to [0x46] + ACK
2.731906750000000,I2C,0x09 + ACK
2.733253750000000,I2C,0x7D + ACK
2.777404250000000,I2C,Setup Write to [0x46] + ACK
2.781306250000000,I2C,0x09 + ACK
2.782679500000000,I2C,0x74 + ACK
2.826787750000000,I2C,Setup Write to [0x46] + ACK
2.830590500000000,I2C,0x09 + ACK
2.832055250000000,I2C,0x68 + ACK
2.876217000000000,I2C,Setup Write to [0x46] + ACK
2.880008250000000,I2C,0x09 + ACK
2.881479000000000,I2C,0x63 + ACK
2.925617750000000,I2C,Setup Write to [0x46] + ACK
2.929535500000000,I2C,0x09 + ACK
2.931011250000000,I2C,0x5F + ACK
2.975053750000000,I2C,Setup Write to [0x46] + ACK
2.978975250000000,I2C,0x09 + ACK
2.980321250000000,I2C,0x57 + ACK
3.026897000000000,I2C,Setup Write to [0x46] + ACK
3.030762000000000,I2C,0x09 + ACK
3.032164500000000,I2C,0x54 + ACK
3.076314750000000,I2C,Setup Write to [0x46] + ACK
3.080088500000000,I2C,0x09 + ACK
3.081591000000000,I2C,0x53 + ACK
3.125568000000000,I2C,Setup Write to [0x46] + ACK
3.129489250000000,I2C,0x09 + ACK
3.130939500000000,I2C,0x51 + ACK
3.174985250000000,I2C,Setup Write to [0x46] + ACK
3.178906500000000,I2C,0x09 + ACK
3.180248250000000,I2C,0x4F + ACK
3.257690500000000,I2C,Setup Write to [0x46] + ACK
3.261612000000000,I2C,0x09 + ACK
3.262979000000000,I2C,0x4E + ACK
3.312004250000000,I2C,Setup Write to [0x46] + ACK
3.315769250000000,I2C,0x09 + ACK
3.317131750000000,I2C,0x4D + ACK
3.354067250000000,I2C,Setup Write to [0x46] + ACK
3.357857000000000,I2C,0x09 + ACK
3.359196750000000,I2C,0x4D + ACK
3.408262250000000,I2C,Setup Write to [0x46] + ACK
3.412163250000000,I2C,0x09 + ACK
3.413532500000000,I2C,0x49 + ACK
3.457646750000000,I2C,Setup Write to [0x46] + ACK
3.461570750000000,I2C,0x09 + ACK
3.462907500000000,I2C,0x47 + ACK
3.509349000000000,I2C,Setup Write to [0x46] + ACK
3.513276250000000,I2C,0x09 + ACK
3.514636750000000,I2C,0x46 + ACK
3.584896000000000,I2C,Setup Write to [0x46] + ACK
3.588685250000000,I2C,0x09 + ACK
3.590021750000000,I2C,0x45 + ACK
3.641517250000000,I2C,Setup Write to [0x46] + ACK
3.645293000000000,I2C,0x09 + ACK
3.646815500000000,I2C,0x44 + ACK
3.902583750000000,I2C,Setup Write to [0x46] + ACK
3.906523500000000,I2C,0x09 + ACK
3.907863500000000,I2C,0x45 + ACK
3.956926500000000,I2C,Setup Write to [0x46] + ACK
3.960808500000000,I2C,0x09 + ACK
3.962196000000000,I2C,0x48 + ACK
4.003881750000000,I2C,Setup Write to [0x46] + ACK
4.007643250000000,I2C,0x09 + ACK
4.009146500000000,I2C,0x48 + ACK
