Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003791250000000,I2C,0x0D + ACK
0.005154750000000,I2C,0x44 + ACK
0.061407750000000,I2C,Setup Write to [0x46] + ACK
0.065199000000000,I2C,0x0D + ACK
0.066675500000000,I2C,0x43 + ACK
0.110778000000000,I2C,Setup Write to [0x46] + ACK
0.114575000000000,I2C,0x0D + ACK
0.116070500000000,I2C,0x3F + ACK
0.160075000000000,I2C,Setup Write to [0x46] + ACK
0.164003000000000,I2C,0x0D + ACK
0.165418500000000,I2C,0x3B + ACK
0.211924000000000,I2C,Setup Write to [0x46] + ACK
0.215855250000000,I2C,0x0D + ACK
0.217198000000000,I2C,0x38 + ACK
0.261356250000000,I2C,Setup Write to [0x46] + ACK
0.265125250000000,I2C,0x0D + ACK
0.266620250000000,I2C,0x36 + ACK
0.310713000000000,I2C,Setup Write to [0x46] + ACK
0.314519250000000,I2C,0x0D + ACK
0.315987750000000,I2C,0x32 + ACK
0.360021750000000,I2C,Setup Write to [0x46] + ACK
0.363943750000000,I2C,0x0D + ACK
0.365364750000000,I2C,0x2F + ACK
0.411863500000000,I2C,Setup Write to [0x46] + ACK
0.415790750000000,I2C,0x0D + ACK
0.417136250000000,I2C,0x27 + ACK
0.461260000000000,I2C,Setup Write to [0x46] + ACK
0.465032750000000,I2C,0x0D + ACK
0.466554500000000,I2C,0x1B + ACK
0.510812250000000,I2C,Setup Write to [0x46] + ACK
0.514606000000000,I2C,0x0D + ACK
0.516078250000000,I2C,0x11 + ACK
0.560114500000000,I2C,Setup Write to [0x46] + ACK
0.564014750000000,I2C,0x0D + ACK
0.565491500000000,I2C,0x09 + ACK
0.609491250000000,I2C,Setup Write to [0x46] + ACK
0.613417250000000,I2C,0x0D + ACK
0.614757000000000,I2C,0x00 + ACK
1.141829250000000,I2C,Setup Write to [0x46] + ACK
1.145754500000000,I2C,0x0D + ACK
1.147098250000000,I2C,0x02 + ACK
1.191210500000000,I2C,Setup Write to [0x46] + ACK
1.195011500000000,I2C,0x0D + ACK
1.196496750000000,I2C,0x0C + ACK
1.242938750000000,I2C,Setup Write to [0x46] + ACK
1.246840000000000,I2C,0x0D + ACK
1.248226000000000,I2C,0x15 + ACK
1.292343000000000,I2C,Setup Write to [0x46] + ACK
1.296258250000000,I2C,0x0D + ACK
1.297602000000000,I2C,0x23 + ACK
1.341758250000000,I2C,Setup Write to [0x46] + ACK
1.345658750000000,I2C,0x0D + ACK
1.347031000000000,I2C,0x38 + ACK
1.391139750000000,I2C,Setup Write to [0x46] + ACK
1.394935250000000,I2C,0x0D + ACK
1.396407000000000,I2C,0x48 + ACK
1.440573250000000,I2C,Setup Write to [0x46] + ACK
1.444364250000000,I2C,0x0D + ACK
1.445837000000000,I2C,0x5C + ACK
1.506698750000000,I2C,Setup Write to [0x46] + ACK
1.510630000000000,I2C,0x0D + ACK
1.511996750000000,I2C,0x6D + ACK
1.558438000000000,I2C,Setup Write to [0x46] + ACK
1.562342000000000,I2C,0x0D + ACK
1.563734500000000,I2C,0x7D + ACK
1.607847500000000,I2C,Setup Write to [0x46] + ACK
1.611771000000000,I2C,0x0D + ACK
1.613113500000000,I2C,0x7F + ACK
2.216239750000000,I2C,Setup Write to [0x46] + ACK
2.219974250000000,I2C,0x0D + ACK
2.221368500000000,I2C,0x7E + ACK
2.272706250000000,I2C,Setup Write to [0x46] + ACK
2.276628250000000,I2C,0x0D + ACK
2.277971000000000,I2C,0x79 + ACK
2.322121750000000,I2C,Setup Write to [0x46] + ACK
2.326043000000000,I2C,0x0D + ACK
2.327386750000000,I2C,0x74 + ACK
2.371485250000000,I2C,Setup Write to [0x46] + ACK
2.375413500000000,I2C,0x0D + ACK
2.376773250000000,I2C,0x6F + ACK
2.423210500000000,I2C,Setup Write to [0x46] + ACK
2.427111750000000,I2C,0x0D + ACK
2.428497500000000,I2C,0x67 + ACK
2.472605250000000,I2C,Setup Write to [0x46] + ACK
2.476526500000000,I2C,0x0D + ACK
2.477870000000000,I2C,0x60 + ACK
2.531688750000000,I2C,Setup Write to [0x46] + ACK
2.535479500000000,I2C,0x0D + ACK
2.536825500000000,I2C,0x5A + ACK
2.588163000000000,I2C,Setup Write to [0x46] + ACK
2.592099250000000,I2C,0x0D + ACK
2.593439000000000,I2C,0x54 + ACK
2.637596500000000,I2C,Setup Write to [0x46] + ACK
2.641516000000000,I2C,0x0D + ACK
2.642863500000000,I2C,0x4F + ACK
2.689299250000000,I2C,Setup Write to [0x46] + ACK
2.693223750000000,I2C,0x0D + ACK
2.694569250000000,I2C,0x4A + ACK
2.738701000000000,I2C,Setup Write to [0x46] + ACK
2.742600000000000,I2C,0x0D + ACK
2.743992500000000,I2C,0x46 + ACK
2.788094250000000,I2C,Setup Write to [0x46] + ACK
2.792020500000000,I2C,0x0D + ACK
2.793363000000000,I2C,0x42 + ACK
2.837509500000000,I2C,Setup Write to [0x46] + ACK
2.841410250000000,I2C,0x0D + ACK
2.842776000000000,I2C,0x40 + ACK
2.886885500000000,I2C,Setup Write to [0x46] + ACK
2.890805500000000,I2C,0x0D + ACK
2.892145250000000,I2C,0x3F + ACK
2.938591750000000,I2C,Setup Write to [0x46] + ACK
2.942512000000000,I2C,0x0D + ACK
2.943875750000000,I2C,0x3C + ACK
2.988023000000000,I2C,Setup Write to [0x46] + ACK
2.991946250000000,I2C,0x0D + ACK
2.993291750000000,I2C,0x39 + ACK
3.032642500000000,I2C,Setup Write to [0x46] + ACK
3.036433500000000,I2C,0x0D + ACK
3.037793500000000,I2C,0x39 + ACK
3.091715500000000,I2C,Setup Write to [0x46] + ACK
3.095502000000000,I2C,0x0D + ACK
3.096844500000000,I2C,0x38 + ACK
3.136254750000000,I2C,Setup Write to [0x46] + ACK
3.140140500000000,I2C,0x0D + ACK
3.141524750000000,I2C,0x37 + ACK
3.249874750000000,I2C,Setup Write to [0x46] + ACK
3.253529000000000,I2C,0x0D + ACK
3.255008500000000,I2C,0x36 + ACK
3.303907500000000,I2C,Setup Write to [0x46] + ACK
3.307828500000000,I2C,0x0D + ACK
3.309195250000000,I2C,0x35 + ACK
3.350997250000000,I2C,Setup Write to [0x46] + ACK
3.354733000000000,I2C,0x0D + ACK
3.356289250000000,I2C,0x35 + ACK
