Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.000950937500000,I2C,0x13 + ACK
0.003023187500000,I2C,0x00 + ACK
0.005533062500000,I2C,Setup Read to [0x46] + ACK
0.007970062500000,I2C,0xDF + NAK
0.010911312500000,I2C,Setup Write to [0x46] + ACK
0.011829062500000,I2C,0x09 + ACK
0.013931875000000,I2C,0x00 + ACK
0.068851750000000,I2C,Setup Write to [0x53] + ACK
0.069750062500000,I2C,0x33 + ACK
0.071060000000000,I2C,Setup Read to [0x53] + ACK
0.072292375000000,I2C,0x0B + NAK
0.074898875000000,I2C,Setup Write to [0x46] + ACK
0.075798437500000,I2C,0x13 + ACK
0.077837062500000,I2C,0x0B + ACK
1.219960312500000,I2C,Setup Write to [0x46] + ACK
1.223594375000000,I2C,0x00 + ACK
1.224938625000000,I2C,0x00 + ACK
1.266029187500000,I2C,Setup Write to [0x46] + ACK
1.269682375000000,I2C,0x12 + ACK
1.270983000000000,I2C,0xC9 + ACK
11.719883125000001,I2C,Setup Write to [0x53] + ACK
11.721314250000001,I2C,0x00 + ACK
11.723248625000000,I2C,Setup Read to [0x53] + ACK
11.725191312500000,I2C,0xB3 + ACK
11.726600124999999,I2C,0x2E + ACK
11.727978374999999,I2C,0x48 + ACK
11.729364250000000,I2C,0xEC + ACK
11.730855937499999,I2C,0x9E + ACK
11.732225124999999,I2C,0xD2 + ACK
11.733712000000001,I2C,0xB4 + ACK
11.735189062500000,I2C,0x2E + ACK
11.736593937500000,I2C,0x4B + ACK
11.737976062500000,I2C,0xE8 + NAK
11.796725125000000,I2C,Setup Write to [0x53] + ACK
11.798029812499999,I2C,0x0A + ACK
11.799978437500000,I2C,Setup Read to [0x53] + ACK
11.801943937500001,I2C,0x9D + ACK
11.803326125000000,I2C,0xD3 + ACK
11.804708124999999,I2C,0xB3 + ACK
11.806203562500000,I2C,0x34 + ACK
11.807568874999999,I2C,0x4B + ACK
11.808948812500001,I2C,0xE6 + ACK
11.810567187500000,I2C,0x9E + ACK
11.811940687500000,I2C,0xD2 + ACK
11.813318937500000,I2C,0xAD + ACK
11.814704812500000,I2C,0xFF + NAK
11.871684750000000,I2C,Setup Write to [0x53] + ACK
11.872994187500000,I2C,0x14 + ACK
11.874921499999999,I2C,Setup Read to [0x53] + ACK
11.876905750000001,I2C,0x00 + ACK
11.878275437499999,I2C,0x0A + ACK
11.879651000000001,I2C,0x80 + ACK
11.881163812500001,I2C,0xFF + ACK
11.882532875000001,I2C,0x00 + ACK
11.883915500000001,I2C,0x7F + ACK
11.885471812500001,I2C,0x00 + ACK
11.886900000000001,I2C,0x7F + ACK
11.888264749999999,I2C,0x80 + ACK
11.889645187499999,I2C,0xFF + NAK
11.948402562500000,I2C,Setup Write to [0x53] + ACK
11.949720687499999,I2C,0x1E + ACK
11.951775874999999,I2C,Setup Read to [0x53] + ACK
11.953616875000000,I2C,0x80 + ACK
11.955001375000000,I2C,0xFF + ACK
11.956505312499999,I2C,0x80 + ACK
11.957879312499999,I2C,0xFF + ACK
11.959257062500001,I2C,0x80 + ACK
11.960746562500001,I2C,0xFF + ACK
11.962241312500000,I2C,0x00 + ACK
11.963611000000000,I2C,0x7F + ACK
11.964990687500000,I2C,0xFF + ACK
11.966499562499999,I2C,0x05 + NAK
12.025198375000000,I2C,Setup Write to [0x53] + ACK
12.026555562500000,I2C,0x28 + ACK
12.028497500000000,I2C,Setup Read to [0x53] + ACK
