Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x46] + ACK
0.003788500000000,I2C,0x00 + ACK
0.005137000000000,I2C,0x00 + ACK
0.013750250000000,I2C,Setup Write to [0x46] + ACK
0.017537250000000,I2C,0x08 + ACK
0.018884500000000,I2C,0x80 + ACK
0.034585250000000,I2C,Setup Write to [0x46] + ACK
0.038366500000000,I2C,0x00 + ACK
0.039713250000000,I2C,0x00 + ACK
0.083967250000000,I2C,Setup Write to [0x46] + ACK
0.087755750000000,I2C,0x13 + ACK
0.089122000000000,I2C,0x00 + ACK
