Time [s], Analyzer Name, Decoded Protocol Result
0.000004000000000,I2C,Setup Write to [0x53] + ACK
0.001391500000000,I2C,0x33 + ACK
0.003378250000000,I2C,Setup Read to [0x53] + ACK
0.005449750000000,I2C,0x0B + NAK
0.052189250000000,I2C,Setup Write to [0x46] + ACK
0.055958500000000,I2C,0x13 + ACK
0.057325500000000,I2C,0x0B + ACK
0.127999750000000,I2C,Setup Write to [0x46] + ACK
0.131769000000000,I2C,0x00 + ACK
0.133158250000000,I2C,0x00 + ACK
1.606481250000000,I2C,Setup Write to [0x46] + ACK
1.610270500000000,I2C,0x08 + ACK
1.611615250000000,I2C,0xE8 + ACK
1.622550750000000,I2C,Setup Write to [0x46] + ACK
1.626315250000000,I2C,0x00 + ACK
1.627707500000000,I2C,0xFF + ACK
