Reference, Value, Part#, Footprint, Datasheet,, Vendor
J1,Conn_02x13_Odd_Even,609-3367-ND,Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical,https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf,,digikey
H1,MountingHole_Pad,,MountingHole:MountingHole_3.5mm_Pad,~,,
J3,AudioJack3,CP1-3533NG-ND,Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles,https://www.cuidevices.com/product/resource/digikeypdf/sj1-353xng.pdf,,digikey
R2,220,CF14JT220RCT-ND,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,https://www.seielect.com/catalog/sei-cf_cfm.pdf,,digikey
R1,220,CF14JT220RCT-ND,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,https://www.seielect.com/catalog/sei-cf_cfm.pdf,,digikey
J2,Screw_Terminal_01x10,277-9080-ND,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-10-5.0-H_1x10_P5.00mm_Horizontal",https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1935857,,digikey
J4,Conn_02x03_Odd_Even,609-3234-ND,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf,,digikey
R3,2.2k,CF14JT2K20CT-ND,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,https://www.seielect.com/catalog/sei-cf_cfm.pdf,,digikey
JP1,SolderJumper_2_Open,,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,~,,
C1,1uF,493-14556-1-ND,Capacitor_THT:CP_Radial_D4.0mm_P1.50mm,http://nichicon-us.com/english/products/pdfs/e-usa_usr.pdf,,digikey
JP2,SolderJumper_3_Open,,Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,~,,
JP3,SolderJumper_2_Open,,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,~,,
