"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"9B-16.000MBBK-B","TXC CORPORATION","887-2015-ND","","","Bulk","Active","1","0.30000","$0.30","1681","13 Weeks","CRYSTAL 16.0000MHZ 20PF T/H","RoHS Compliant","Lead free","Not Available"
"TSW-110-23-G-D","Samtec Inc.","SAM1068-10-ND","","","Bulk","Active","1","1.92000","$1.92","801","Not Available","CONN HEADER VERT 20POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"L77HDE15SD1CH4F","Amphenol ICC (Commercial Products)","L77HDE15SD1CH4F-ND","","","Tray","Active","1","1.51000","$1.51","147","5 Weeks","CONN DSUB HD RCPT 15POS R/A SLDR","RoHS Compliant","Lead free","Not Available"
"LCC110","IXYS Integrated Circuits Division","CLA106-ND","","","Tube","Active","1","3.79000","$3.79","1208","6 Weeks","SSR RELAY SPDT 120MA 0-350V","ROHS3 Compliant","Lead free","REACH Unaffected"
"CF14JT220R","Stackpole Electronics Inc","CF14JT220RCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","37887","20 Weeks","RES 220 OHM 1/4W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"1N5819-E3/54","Vishay Semiconductor Diodes Division","1N5819-E3/54GICT-ND","","","Cut Tape (CT)","Active","1","0.45000","$0.45","32593","8 Weeks","DIODE SCHOTTKY 40V 1A DO204AL","ROHS3 Compliant","Lead free","REACH Unaffected"
"1N5819-E3/54","Vishay Semiconductor Diodes Division","1N5819-E3/54GICT-ND","","","Cut Tape (CT)","Active","1","0.45000","$0.45","32593","8 Weeks","DIODE SCHOTTKY 40V 1A DO204AL","ROHS3 Compliant","Lead free","REACH Unaffected"
"CF14JT10K0","Stackpole Electronics Inc","CF14JT10K0CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","329624","20 Weeks","RES 10K OHM 1/4W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"UPW0J471MPD","Nichicon","493-1702-ND","","","Bulk","Active","1","0.36000","$0.36","6705","19 Weeks","CAP ALUM 470UF 20% 6.3V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"ATMEGA328P-PU","Microchip Technology","ATMEGA328P-PU-ND","","","Tube","Active","1","2.08000","$2.08","1721","8 Weeks","IC MCU 8BIT 32KB FLASH 28DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"61200621621","Würth Elektronik","732-5394-ND","","","Tray","Active","1","0.45000","$0.45","7331","15 Weeks","CONN HEADER VERT 6POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"67997-206HLF","Amphenol ICC (FCI)","609-3234-ND","","","Bag","Active","1","0.33000","$0.33","15098","8 Weeks","CONN HEADER VERT 6POS 2.54MM","RoHS Compliant","Lead free","Not Available"
"CF14JT10K0","Stackpole Electronics Inc","CF14JT10K0CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","329624","20 Weeks","RES 10K OHM 1/4W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"CF14JT10K0","Stackpole Electronics Inc","CF14JT10K0CT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","329624","20 Weeks","RES 10K OHM 1/4W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"1935174","Phoenix Contact","277-1578-ND","","","Box","Active","2","0.60000","$1.20","6640","7 Weeks","TERM BLK 3POS SIDE ENTRY 5MM PCB","RoHS Compliant","Lead free","Not Available"
"CC45SL3AD220JYNNA","TDK Corporation","445-15973-ND","","","Bulk","Active","2","0.37000","$0.74","2452","10 Weeks","CAP CER 22PF 1KV SL RADIAL","ROHS3 Compliant","Lead free","Not Available"
